PID,Neighborhood,Year,SQFT,NumBeds,NumBaths,Price
526301100,NAmes,1960,1656,3,1,215000
527452190,NPkVill,1977,1069,2,2,127500
528382030,NoRidge,1998,1839,4,2.5,221000
533212020,Somerst,2004,1200,2,2.5,149500
535106190,NAmes,1960,2274,5,2,154300
902125080,OldTown,1915,1605,3,2,107400
905109170,ClearCr,1977,1483,1,1.5,270000
907262050,CollgCr,2003,1829,3,2.5,237000
914467040,Mitchel,1998,1916,3,2.5,254900
527105070,Gilbert,1997,1608,3,2.5,189500
527354200,NWAmes,1978,1707,3,2,184000
527453050,NPkVill,1976,1548,3,2.5,146000
528120160,NridgHt,2004,1713,3,2,274900
528228295,Blmngtn,2007,1569,1,2,175900
528390100,NoRidge,1994,2448,4,2.5,402000
531363030,SawyerW,2006,1141,3,1.5,152000
533206020,Somerst,2004,3005,3,2.5,280750
534252240,NWAmes,1967,1342,3,2,161500
535154130,NAmes,1959,988,3,2,149500
535402270,NAmes,1967,1040,3,1,163000
902327070,OldTown,1900,2007,3,2,160000
905103070,Sawyer,1967,1052,3,1.5,113500
906230010,SawyerW,2000,2787,6,5,269500
907192030,CollgCr,2002,1660,3,2.5,195000
907290210,CollgCr,2003,848,1,1,140000
909425060,Crawfor,1941,1564,3,1.5,174500
916475040,Timber,2006,1838,2,2,315000
527163100,Gilbert,1995,1658,3,2.5,188000
527402130,NAmes,1969,936,2,1,111900
528170070,NridgHt,2003,2046,3,2.5,284000
528292060,Gilbert,1999,2322,4,2.5,225000
528480160,Somerst,2007,1665,3,2.5,205950
533208080,Somerst,2006,1250,2,2.5,171900
534201240,NAmes,1968,1464,4,1.5,141000
535104020,NAmes,1961,1362,3,1.5,163000
535427070,NAmes,1960,2069,4,2,242000
902402260,OldTown,1920,1086,2,1,55000
905201020,Sawyer,1963,960,3,1,144900
907175080,CollgCr,1997,1418,3,2,226001
907265100,CollgCr,1999,1764,3,2.5,207000
908201120,Edwards,1955,1440,4,2,118000
911226010,IDOTRR,1935,894,2,1,81000
923225200,MeadowV,1976,1475,4,2,129500
527184110,StoneBr,1990,1321,1,1,212000
527425025,NAmes,1961,914,2,1,128000
528118050,NridgHt,2007,2290,2,2.5,500067
528221030,Gilbert,2006,1495,3,2.5,171925
528344020,NoRidge,1998,2582,4,2.5,322500
528458080,Somerst,2007,1792,3,2.5,255000
532378240,Sawyer,1967,902,3,1,125500
533350020,Veenker,1981,2497,2,2,373000
534425015,NAmes,1959,1652,3,1.5,200000
535301160,NAmes,1958,1560,4,2,128600
902100010,OldTown,1926,960,2,1,103000
903456110,IDOTRR,1950,1952,4,1.5,212300
905476160,Edwards,1977,1440,4,2,150000
906426195,ClearCr,1992,1953,3,2.5,240000
907260050,CollgCr,2003,1932,3,2.5,213000
908204090,Edwards,1959,960,2,1,131750
909451130,Blueste,1980,1045,2,1,123900
916455150,Timber,2002,1922,2,2,282000
526303060,NAmes,1957,1390,1,1.5,252000
527252090,StoneBr,2005,1714,2,2,318000
527452070,NPkVill,1975,1069,2,2,146300
528180080,NridgHt,2005,1565,2,2,282500
528240080,Gilbert,2000,1936,3,2.5,230500
528480100,Somerst,2005,1553,3,2.5,186500
532378160,Sawyer,1961,1236,3,1,135000
534175100,NWAmes,1967,1334,3,2,164500
535125060,NAmes,1966,2157,4,2.5,226000
535404080,NAmes,1957,816,2,1,129900
902207110,OldTown,1920,840,2,1,64000
905107220,Sawyer,1967,1458,3,1.5,165000
906392100,CollgCr,2005,1734,3,2,260000
907255010,CollgCr,2002,1358,1,1.5,220000
908178050,Edwards,2003,2314,3,2.5,229000
911370430,Crawfor,2005,1778,2,2,375000
923228210,MeadowV,1970,1092,3,1.5,79500
